timestamp,sensor_id,tipo,valor
2025-10-01 00:00,L01,luminosidade,76.15
2025-10-01 00:00,L02,luminosidade,0.0
2025-10-01 00:00,L03,luminosidade,0.0
2025-10-01 00:00,O01,ocupacao,0.0
2025-10-01 00:00,O02,ocupacao,0.0
2025-10-01 00:00,O03,ocupacao,0.0
2025-10-01 00:00,T01,temperatura,20.4
2025-10-01 00:00,T02,temperatura,19.89
2025-10-01 00:00,T03,temperatura,20.52
2025-10-01 00:15,L01,luminosidade,0.0
2025-10-01 00:15,L02,luminosidade,0.0
2025-10-01 00:15,L03,luminosidade,47.52
2025-10-01 00:15,O01,ocupacao,0.0
2025-10-01 00:15,O02,ocupacao,0.0
2025-10-01 00:15,O03,ocupacao,0.0
2025-10-01 00:15,T01,temperatura,19.54
2025-10-01 00:15,T02,temperatura,19.58
2025-10-01 00:15,T03,temperatura,19.54
2025-10-01 00:30,L01,luminosidade,0.0
2025-10-01 00:30,L02,luminosidade,3.38
2025-10-01 00:30,L03,luminosidade,0.0
2025-10-01 00:30,O01,ocupacao,0.0
2025-10-01 00:30,O02,ocupacao,1.0
2025-10-01 00:30,O03,ocupacao,0.0
2025-10-01 00:30,T01,temperatura,19.27
2025-10-01 00:30,T02,temperatura,18.87
2025-10-01 00:30,T03,temperatura,21.17
2025-10-01 00:45,L01,luminosidade,0.0
2025-10-01 00:45,L02,luminosidade,0.0
2025-10-01 00:45,L03,luminosidade,0.0
2025-10-01 00:45,O01,ocupacao,0.0
2025-10-01 00:45,O02,ocupacao,1.0
2025-10-01 00:45,O03,ocupacao,0.0
2025-10-01 00:45,T01,temperatura,19.52
2025-10-01 00:45,T02,temperatura,20.76
2025-10-01 00:45,T03,temperatura,20.23
2025-10-01 01:00,L01,luminosidade,0.0
2025-10-01 01:00,L02,luminosidade,0.0
2025-10-01 01:00,L03,luminosidade,9.84
2025-10-01 01:00,O01,ocupacao,0.0
2025-10-01 01:00,O02,ocupacao,0.0
2025-10-01 01:00,O03,ocupacao,0.0
2025-10-01 01:00,T01,temperatura,20.66
2025-10-01 01:00,T02,temperatura,19.02
2025-10-01 01:00,T03,temperatura,20.17
